id,Escolas_Postos,BAIRRO,ENDEREÇO ,lat,lon
178,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA HENFIL,CAJU,Rua Carlos Seidl S/Nº,"-22,880888","-43,225326"
634,EM ALICE DO AMARAL PEIXOTO,BENFICA,Rua Ébano 187,"-22,889574","-43,236202"
483,EM CELESTINO SILVA,CENTRO,"R. do Lavradio, 56","-22,909293","-43,183579"
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SÃO CRISTÓVÃO,Praça Argentina 20,"-22,897629","-43,227456"
132,EM PEREIRA PASSOS,RIO COMPRIDO,Praça Condessa Paulo de Frontin 45,"-22,924412","-43,208579"
17,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. Barão da Torre, 90","-22,983332","-43,199036"
55,EM SANTA CATARINA,SANTA TERESA,Rua Eduardo Santos 38,"-22,915535","-43,191588"
490,E.M TIA CIATA,CENTRO,Avenida Presidente Vargas S/Nº,"-22,907123","-43,195068"
600,EM URUGUAI,BENFICA,Rua Ana Néri 192,"-22,898488","-43,237756"
89,EM MARIO CLAUDIO,RIO COMPRIDO,"R. Haddock Lobo, 148","-22,917233","-43,211044"
387,CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,Rua Visconde de Silva s/nº,"-22,959167","-43,199723"
331,CIEP TANCREDO NEVES,CATETE,Rua do Catete 77,"-22,922785","-43,176685"
450,EM ALBERTO BARTH,FLAMENGO,Avenida Oswaldo Cruz 124,"-22,940711","-43,17647"
558,EM CÍCERO PENA,COPACABANA,"Av. Atlântica, 1976","-22,968647","-43,181139"
413,EM CÓCIO BARCELOS,COPACABANA,"R. Barão de Ipanema, 34","-22,974828","-43,189063"
413,EM CÓCIO BARCELOS,COPACABANA,"R. Barão de Ipanema, 34","-22,74828","-43,189063"
540,EM HENRIQUE DODSWORTH,IPANEMA,Avenida Epitácio Pessoa 474,"-22,981955","-43,213579"
309,EM MÉXICO,BOTAFOGO,Rua da Matriz 67,"-22,952706","-43,191761"
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,Avenida Pasteur 433,"-22,953822","-43,168885"
523,EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,"Rua Assunção, 257","-22,945558","-43,186591"
17,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. Barão da Torre, 90","-22,983332","-43,199036"
35,EM SENADOR CORREA,LARANJEIRAS,R. Sen. Corrêa,"-22,933989","-43,181011"
11,CIEP SAMUEL WEINER,TIJUCA,"Av Heitor Beltrão, s/nº","-22,921274","-43,227998"
226,EM AFRANIO PEIXOTO,ANDARAÍ,"R. Ferreira Pontes, 328","-22,926855","-43,254913"
638,E.M AZEVEDO SODRÉ,PRAÇA DA BANDEIRA,Rua Barão De Ubá 331,"-22,915447","-43,211091"
89,EM MARIO CLAUDIO,RIO COMPRIDO,"R. Haddock Lobo, 148","-22,917233","-43,211044"
126,EM DUQUE DE CAXIAS,GRAJAÚ,"R. Mal. Jofre, 74","-22,918541","-43,26509"
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,"Boulevard 28 De Setembro, 353","-22,916152","-43,247048"
163,EM LAUDIMIA TROTTA,TIJUCA,"R. Antônio Basílio, 370","-22,926842","-43,237889"
361,EM PRUDENTE DE MORAES,TIJUCA,Rua Enes de Sousa 36,"-22,92906","-43,232871"
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANÃ/ VILA ISABEL,"R. Oito de Dezembro, 275","-22,909823","-43,239393"
60,ESCOLA MUNICIPAL BARÃO HOMEM DE MELO,MARACANÃ/ TIJUCA,"R. Alm. João Cândido Brasil, 352","-22,916829","-43,236925"
587,EM ALMIRANTE TAMANDARÉ,VIDIGAL,Avenida Presidente João Goulart 296,"-22,993697","-43,235579"
653,EM LÚCIA MIGUEL PEREIRA,SÃO CONRADO,Rua Martagão Gesteira S/N°,"-22,997417","-43,272181"
660,E.M NOSSA SENHORA DA POMPÉIA,TODOS OS SANTOS,"R. Cirne Maia, 109","-22,892031","-43,279925"
382,EM SANTOS ANJOS,LEBLON,Rua Humberto De Campos s/n°,"-22,981559","-43,217029"
217,EM ALAGOAS,PILARES,Av. Dom Hélder Câmara 6742,"-22,881338","-43,294091"
378,EM BRIGADEIRO FARIA LIMA,ÁGUA SANTA,Rua Violeta S/Nº,"-22,906272","-43,307919"
429,EM FELIX PACHECO,PIEDADE,"R. Assis Carneiro, 649","-22,895086","-43,313826"
25,ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,R. Ana Neri,"-22,900704","-43,255408"
660,E.M NOSSA SENHORA DA POMPÉIA,TODOS OS SANTOS,"R. Cirne Maia, 109","-22,892031","-43,279925"
373,EM PROFESSOR AUGUSTO PAULINO,MEIER,Rua Cônego Tobias 116,"-22,904163","-43,28033"
624,EM RIO GRANDE DO SUL,ENGENHO DE DENTRO,"Rua Adolfo Bergamini, 201","-22,900341","-43,29594"
157,E.M. SARMIENTO,ENGENHO NOVO,Rua Vinte Quatro de Maio 931,"-22,903031","-43,267883"
20,EM TAGORE,PIEDADE,Pça. Frederico Duval S/Nº,"-22,887661","-43,302467"
117,CIEP CHANCELER WILLY BRANDT,JACARÉ,Rua Álvaro Seixas S/Nº,"-22,894178","-43,263847"
502,CIEP PATRICE LUMUMBA,DEL CASTILHO,"Praça Da Confederação Suíça, s/nº","-22,878355","-43,274889"
351,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA VINÍCIUS DE MORAES,JACARÉ,Av. Dom Hélder Câmara 1715,"-22,885318","-43,254104"
135,EM DOMINGOS BEBIANO,INHAUMA,Estr. Adhemar Bebiano 1870,"-22,873892","-43,277712"
