nome,subprefeitura
Santo Cristo,Centro
Gamboa,Centro
Saúde,Centro
Caju,Centro
Centro,Centro
Lapa,Centro
Rio Comprido,Centro
Cidade Nova,Centro
Catumbi,Centro
Estácio,Centro
Mangueira,Centro
Benfica,Centro
Vasco da Gama,Centro
São Cristóvão,Centro
Paquetá,Ilhas
Santa Teresa,Centro
Glória,Centro
Cosme Velho,Zona Sul
Botafogo,Zona Sul
Flamengo,Zona Sul
Humaitá,Zona Sul
Urca,Zona Sul
Laranjeiras,Zona Sul
Catete,Zona Sul
Leme,Zona Sul
Copacabana,Zona Sul
Vidigal,Zona Sul
Lagoa,Zona Sul
Jardim Botânico,Zona Sul
Ipanema,Zona Sul
São Conrado,Zona Sul
Gávea,Zona Sul
Leblon,Zona Sul
Rocinha,Zona Sul
Praça da Bandeira,Grande Tijuca
Tijuca,Grande Tijuca
Alto da Boa Vista,Grande Tijuca
Maracanã,Grande Tijuca
Andaraí,Grande Tijuca
Grajaú,Grande Tijuca
Vila Isabel,Grande Tijuca
Manguinhos,Zona Norte
Olaria,Zona Norte
Bonsucesso,Zona Norte
Ramos,Zona Norte
Maré,Zona Norte
Abolição,Zona Norte
Lins de Vasconcelos,Zona Norte
Piedade,Zona Norte
Jacaré,Zona Norte
Cachambi,Zona Norte
Água Santa,Zona Norte
Todos os Santos,Zona Norte
Pilares,Zona Norte
Riachuelo,Zona Norte
Méier,Zona Norte
Sampaio,Zona Norte
São Francisco Xavier,Zona Norte
Rocha,Zona Norte
Encantado,Zona Norte
Engenho de Dentro,Zona Norte
Engenho Novo,Zona Norte
Jacarezinho,Zona Norte
Vicente de Carvalho,Zona Norte
Colégio,Zona Norte
Vila Kosmos,Zona Norte
Vista Alegre,Zona Norte
Vila da Penha,Zona Norte
Irajá,Zona Norte
Cascadura,Zona Norte
Cavalcanti,Zona Norte
Turiaçú,Zona Norte
Bento Ribeiro,Zona Norte
Osvaldo Cruz,Zona Norte
Rocha Miranda,Zona Norte
Engenheiro Leal,Zona Norte
Campinho,Zona Norte
Vaz Lobo,Zona Norte
Marechal Hermes,Zona Norte
Madureira,Zona Norte
Quintino Bocaiúva,Zona Norte
Honório Gurgel,Zona Norte
Engenho da Rainha,Zona Norte
Del Castilho,Zona Norte
Maria da Graça,Zona Norte
Inhaúma,Zona Norte
Higienópolis,Zona Norte
Tomás Coelho,Zona Norte
Complexo do Alemão,Zona Norte
Penha,Zona Norte
Brás de Pina,Zona Norte
Penha Circular,Zona Norte
Jardim América,Zona Norte
Vigário Geral,Zona Norte
Cordovil,Zona Norte
Parada de Lucas,Zona Norte
Parque Anchieta,Zona Norte
Ricardo de Albuquerque,Zona Norte
Guadalupe,Zona Norte
Anchieta,Zona Norte
Barros Filho,Zona Norte
Coelho Neto,Zona Norte
Parque Colúmbia,Zona Norte
Pavuna,Zona Norte
Acari,Zona Norte
Costa Barros,Zona Norte
Zumbi,Ilhas
Praia da Bandeira,Ilhas
Tauá,Ilhas
Ribeira,Ilhas
Cocotá,Ilhas
Bancários,Ilhas
Portuguesa,Ilhas
Pitangueiras,Ilhas
Galeão,Ilhas
Cidade Universitária,Ilhas
Jardim Guanabara,Ilhas
Jardim Carioca,Ilhas
Freguesia (Ilha),Ilhas
Moneró,Ilhas
Cacuia,Ilhas
Freguesia (Jacarepaguá),Jacarepaguá
Jacarepaguá,Jacarepaguá
Anil,Jacarepaguá
Pechincha,Jacarepaguá
Gardênia Azul,Jacarepaguá
Curicica,Jacarepaguá
Praça Seca,Jacarepaguá
Tanque,Jacarepaguá
Taquara,Jacarepaguá
Vila Valqueire,Jacarepaguá
Cidade de Deus,Jacarepaguá
Vargem Grande,Barra da Tijuca
Camorim,Barra da Tijuca
Recreio dos Bandeirantes,Barra da Tijuca
Joá,Barra da Tijuca
Itanhangá,Barra da Tijuca
Barra da Tijuca,Barra da Tijuca
Grumari,Barra da Tijuca
Vargem Pequena,Barra da Tijuca
Senador Camará,Grande Bangu
Jabour,Grande Bangu
Gericinó,Grande Bangu
Bangu,Grande Bangu
Vila Kennedy,Grande Bangu
Padre Miguel,Grande Bangu
Jardim Sulacap,Grande Bangu
Deodoro,Grande Bangu
Realengo,Grande Bangu
Vila Militar,Grande Bangu
Magalhães Bastos,Grande Bangu
Campo dos Afonsos,Grande Bangu
Senador Vasconcelos,Zona Oeste
Cosmos,Zona Oeste
Campo Grande,Zona Oeste
Inhoaíba,Zona Oeste
Santíssimo,Zona Oeste
Sepetiba,Zona Oeste
Paciência,Zona Oeste
Santa Cruz,Zona Oeste
Guaratiba,Zona Oeste
Barra de Guaratiba,Zona Oeste
Pedra de Guaratiba,Zona Oeste
Ilha de Guaratiba,Zona Oeste
